	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	
nmae_10_weighted&a	1.232817617	1.099888242	1.044817054	1.014256584	1.004943666	0.998784173	0.995667995	0.990198561	0.986939816	0.982325621	0.978172117	0.976737282	0.977233231	0.974830937	0.975216273	0.974582781	0.974654431	0.9724706	0.971830195	0.971714159	
pearson_0_weighted-centered&a	1.313019958	1.141692502	1.070392198	1.036267708	1.017681622	1.003153365	0.993151988	0.986979145	0.980643987	0.977163421	0.97155671	0.966480037	0.965297476	0.961403511	0.958461206	0.955640793	0.952692369	0.949480122	0.947657143	0.946038571	1
RFP_0_weighted-centered&a	1.24395915	1.088493415	1.027533325	0.996939973	0.985157298	0.972100034	0.963771217	0.956462441	0.953247494	0.950845189	0.946161738	0.941539582	0.939865332	0.93717841	0.935839855	0.933834145	0.932065384	0.932705768	0.932958292	0.932713728	
nrmse_0_weighted-centered&a	1.167023081	1.063613725	1.016267222	1.00071228	0.979641109	0.975952899	0.974915136	0.969324344	0.96692536	0.961458223	0.956053031	0.95432653	0.951166234	0.950162909	0.945990499	0.943852901	0.941916376	0.942609321	0.940523142	0.939548408	
nmae_0_weighted-centered&a	1.206041819	1.092965868	1.038364499	1.013689397	0.995562561	0.987167086	0.976447107	0.967748705	0.964826247	0.960141226	0.95586865	0.954107467	0.951977131	0.950748903	0.950830544	0.949013289	0.948023686	0.945721629	0.945055166	0.943842152	
pearson_4_weighted-centered&a	1.305713998	1.127096203	1.047557443	1.016923817	1.002636995	0.987482136	0.98087661	0.971140919	0.966883346	0.966245091	0.962406859	0.958356001	0.957123031	0.953699006	0.951953129	0.949228863	0.94603216	0.945031742	0.943206112	0.94190529	
RFP_4_weighted-centered&a	1.242970932	1.086454844	1.025775218	0.996136345	0.98427508	0.971220287	0.962621879	0.955292303	0.952783097	0.950132977	0.945983984	0.941526585	0.939413278	0.937788212	0.936820553	0.934490337	0.933047123	0.933505797	0.933729308	0.934081481	
nrmse_4_weighted-centered&a	1.168297012	1.066061856	1.017239657	1.000757793	0.979112059	0.976174204	0.975752095	0.969487467	0.966027186	0.960330481	0.955093888	0.953799024	0.950722044	0.950142509	0.946107033	0.943658216	0.942030104	0.942490164	0.940747336	0.939515967	
nmae_4_weighted-centered&a	1.221338829	1.093418276	1.036657492	1.010089383	0.994051754	0.985278935	0.975124463	0.965907564	0.964506383	0.958800823	0.954667771	0.953714134	0.952615716	0.951533005	0.95197419	0.949438917	0.948342583	0.946200524	0.945749248	0.943807342	
pearson_10_weighted-centered&a	1.284097339	1.116273342	1.050941331	1.019886529	1.004978867	0.990732684	0.984798735	0.979101166	0.972239486	0.969819886	0.966179476	0.964941104	0.961101136	0.959020525	0.955017704	0.953915496	0.952015026	0.951733096	0.950097561	0.949049596	
RFP_10_weighted-centered&a	1.237708812	1.085196436	1.026213239	0.998815236	0.985324695	0.976943279	0.9683831	0.964446206	0.962222299	0.958356639	0.952819925	0.949883202	0.947508261	0.946666956	0.945312642	0.943354402	0.943047744	0.944469798	0.944882111	0.944866769	
nrmse_10_weighted-centered&a	1.174953989	1.070162801	1.020083775	1.00437848	0.985090826	0.979036772	0.97708634	0.970597378	0.96644751	0.961597709	0.957267118	0.955517939	0.953527442	0.952052523	0.948588101	0.945654578	0.943643867	0.943850095	0.941312489	0.940553994	
nmae_10_weighted-centered&a	1.220624022	1.08956124	1.037581067	1.005190328	0.990448264	0.981178758	0.974002934	0.968371553	0.964034138	0.958621692	0.954299359	0.953755158	0.952157564	0.949703798	0.948614862	0.94616379	0.946861124	0.943852695	0.942619821	0.942120871	
pearson_0_weighted&ab	1.397310359	1.221417748	1.14649712	1.109335303	1.092273511	1.08328767	1.072097551	1.066678005	1.062250414	1.061208112	1.058151016	1.057016516	1.058799101	1.05882832	1.063443217	1.065075166	1.068224174	1.070148111	1.071701915	1.075368576	
